op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_cdata_one,4194304,cand-on8,8,1,370229.5,2021000.0
parse_cdata_one,4194304,cand-on8,8,2,415804.5,2059500.0
parse_cdata_one,4194304,cand-auto16,16,2,390046.5,2582500.0
parse_cdata_one,4194304,cand-auto8,8,2,444062.0,1970500.0
parse_cdata_one,4194304,cand-off,1,2,1242414.5,1238500.0
parse_cdata_one,4194304,oracle,1,2,10929985.0,10737000.0
parse_cdata_one,4194304,oracle,1,3,11192489.0,11153000.0
parse_cdata_one,4194304,cand-off,1,3,1366651.0,1364000.0
parse_cdata_one,4194304,cand-auto8,8,3,433242.0,2269000.0
parse_cdata_one,4194304,cand-auto16,16,3,399118.5,2836500.0
parse_cdata_one,4194304,cand-on8,8,3,320938.0,1612000.0
parse_cdata_one,4194304,cand-on8,8,4,518180.0,2283000.0
parse_cdata_one,4194304,cand-auto16,16,4,350502.5,2576500.0
parse_cdata_one,4194304,cand-auto8,8,4,367103.5,1928500.0
parse_cdata_one,4194304,cand-off,1,4,1143730.5,1122000.0
parse_cdata_one,4194304,oracle,1,4,11809804.0,11758500.0
parse_cdata_one,4194304,oracle,1,5,10905183.5,10879500.0
parse_cdata_one,4194304,cand-off,1,5,1525682.0,1522500.0
parse_cdata_one,4194304,cand-auto8,8,5,375103.5,1802500.0
parse_cdata_one,4194304,cand-auto16,16,5,343194.0,2623500.0
